author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169062,Archival Material,,,2021,,"Arab Student Association, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Jalihal, Ameya",https://hdl.handle.net/2027.42/168104,Thesis,Science,,2021,en_US,To Find and to Form: Cellular Strategies for Intracellular Target Search and Higher-Order Assembly,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168915,Archival Material,,,2021,,Lecturers’ Employee Organization (LEO),"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168834,Archival Material,,,2021,,"Awards and Fellowships, General","College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168999,Archival Material,,,2021,,"Division of Student Affairs (DSA) Information, 2009-2010",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169112,Archival Material,,,2021,,"Taiwan Student Association, circa 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169022,Archival Material,,,2021,,"Revisions, 2009",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168201,Archival Material,,,2021,,2015,"College of Literature, Science and the Arts records and publications",
"Tolbert, Audrey",https://hdl.handle.net/2027.42/168013,Thesis,Science,,2021,en_US,Fully Selective Pb(II) Templated Heterotrimeric Redox and Hydrolytic Metalloenzymes,Dissertations and Theses (Ph.D. and Master's),
"Chao, Yan-Cheng",https://hdl.handle.net/2027.42/167925,Thesis,Science,,2021,en_US,"Estimation Methods and Clinical Trial Design in Small n, Sequential, Multiple-Assignment, Randomized Trials",Dissertations and Theses (Ph.D. and Master's),
